[2017-06-02 14:59:33:270] PID=[7696] TID=[6644]  [Info] "start to logging to server  mmsrvpub.srcdoc.com  port  10130" 	RemoteServerConn::start .\RemoteServerConn.cpp  line:54
[2017-06-02 14:59:33:358] PID=[7696] TID=[6644]  [Info] "remote server connected code   0" 	NetStateEvent::onConnected .\server-events\NetStateEvent.cpp  line:37
[2017-06-02 14:59:35:809] PID=[7696] TID=[6644]  [Info] "stop remote server  " 	RemoteServerConn::stop .\RemoteServerConn.cpp  line:88
[2017-06-02 14:59:35:811] PID=[7696] TID=[6644]  [Info] "start to logging to server  119.23.75.90  port  10038" 	RemoteServerConn::start .\RemoteServerConn.cpp  line:54
[2017-06-02 14:59:35:812] PID=[7696] TID=[6644]  [Info] "0 119.23.75.90 10038" 	AccountPresenter::onRedirect .\login\account_presenter.cpp  line:90
[2017-06-02 14:59:35:820] PID=[7696] TID=[6644]  [Info] "remote server connected code   0" 	NetStateEvent::onConnected .\server-events\NetStateEvent.cpp  line:37
[2017-06-02 14:59:35:837] PID=[7696] TID=[6644]  [Info] "start to logging to server  119.23.75.90  port  10038" 	RemoteServerConn::start .\RemoteServerConn.cpp  line:54
[2017-06-02 14:59:35:838] PID=[7696] TID=[6644]  [Info] "0  " 	AccountPresenter::onLogin .\login\account_presenter.cpp  line:70
[2017-06-02 14:59:36:051] PID=[7696] TID=[6644]  [Info] "on update info ,last version  1 new version  1 url www.google.com " 	AccountPresenter::onUpdate .\login\account_presenter.cpp  line:118
[2017-06-02 14:59:36:051] PID=[7696] TID=[6644]  [Debug] " debug aes info   " 	ServerNetEvent::onLogin .\net-events\ServerNetEvent.cpp  line:112
[2017-06-02 14:59:36:055] PID=[7696] TID=[6644]  [Info] "remote server connected code   0" 	UploadNetStateEvent::onConnected .\server-events\UploadNetStateEvent.cpp  line:34
[2017-06-02 14:59:36:300] PID=[7696] TID=[6644]  [Info] "0  899822d7-454a-426f-aed2-80973aefbf0e   {} " 	WxChatDlg::onWechatLogin .\wechat\WxChatDlg.cpp  line:109
[2017-06-02 14:59:36:301] PID=[7696] TID=[6644]  [Info] " create WxSessionWnd  " 	WxSessionWnd::WxSessionWnd .\wechat\WxSessionWnd.cpp  line:136
[2017-06-02 14:59:36:306] PID=[7696] TID=[6644]  [Info] "  ChildrenCreated  " 	WxSessionWnd::ChildrenCreated .\wechat\WxSessionWnd.cpp  line:163
[2017-06-02 14:59:36:306] PID=[7696] TID=[6644]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 14:59:36:306] PID=[7696] TID=[6644]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 14:59:36:315] PID=[7696] TID=[6644]  [Info] "  setAccount  " 	WxSessionWnd::setAccount .\wechat\WxSessionWnd.cpp  line:392
[2017-06-02 14:59:36:318] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 14:59:36:318] PID=[7696] TID=[6644]  [Info] "0  d63b9084-4d3e-452a-9ba0-37432c4d23b6   {} " 	WxChatDlg::onWechatLogin .\wechat\WxChatDlg.cpp  line:109
[2017-06-02 14:59:36:318] PID=[7696] TID=[6644]  [Info] " create WxSessionWnd  " 	WxSessionWnd::WxSessionWnd .\wechat\WxSessionWnd.cpp  line:136
[2017-06-02 14:59:36:321] PID=[7696] TID=[6644]  [Info] "  ChildrenCreated  " 	WxSessionWnd::ChildrenCreated .\wechat\WxSessionWnd.cpp  line:163
[2017-06-02 14:59:36:321] PID=[7696] TID=[6644]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 14:59:36:321] PID=[7696] TID=[6644]  [Info] " create contact list adapter " 	ContactListAdapter::ContactListAdapter .\wechat\WxSessionWnd.cpp  line:51
[2017-06-02 14:59:36:322] PID=[7696] TID=[6644]  [Info] "  setAccount  " 	WxSessionWnd::setAccount .\wechat\WxSessionWnd.cpp  line:392
[2017-06-02 14:59:36:329] PID=[7696] TID=[6644]  [Info] "  thread test  " 	WxSessionWnd::clearUnread .\wechat\WxSessionWnd.cpp  line:628
[2017-06-02 14:59:36:331] PID=[7696] TID=[6644]  [Info] "0  f136933b-bb6f-4450-b69e-3a8cb3ce685b   {} " 	WxChatDlg::onWechatLogin .\wechat\WxChatDlg.cpp  line:109
[2017-06-02 14:59:36:334] PID=[7696] TID=[6644]  [Info] " create WxSessionWnd  " 	WxSessionWnd::WxSessionWnd .\wechat\WxSessionWnd.cpp  line:136
[2017-06-02 14:59:36:337] PID=[7696] TID=[6644]  [Info] "  ChildrenCreated  " 	WxSessionWnd::ChildrenCreated .\wechat\WxSessionWnd.cpp  line:163
